query;title;url;abstract;authors;date;downloads;score;journal
"""sarcopenia""";Physical activity improves sarcopenia in a murine model by enhancing the proliferative potential of muscle stem cells, oxidative capacity of mitochondrial enzymes and expression of Sestrins;https://www.biorxiv.org/content/10.1101/811638v1;Sarcopenia is a major health issue in old age.  Underlying molecular mechanisms in its genesis remain unclear and optimal animal models are yet to be established.;Masroor Anwar ... A.B. Dey;2019-10-21;164;1.0;missing
"""sarcopenia""";Predicting the risk of sarcopenia in elderly patients with patellar fracture: Development and assessment of a new predictive nomogram;https://www.biorxiv.org/content/10.1101/702548v1;Purpose: This study was aimed at developing a risk prediction model for postoperative dysplasia in elderly patients with patellar fractures in China.  Patients and methods: We conducted a community survey of patients aged ≥55 years who underwent surgery for patellar fractures between January 2013 and October 2018, through telephone interviews, community visits, and outpatient followup.;Chen Yisheng ... Tao Jie;2019-07-14;145;1.0;missing
"""sarcopenia""";Resveratrol attenuates high-fat diet-induced obesity and the aging-related sarcopenia mitochondrial dysfunction in skeletal muscle.;https://www.biorxiv.org/content/10.1101/823088v1;Sarcopenic obesity is a progressive loss of skeletal muscle mass and strength with increases in adiposity.  This study's aim was to investigate the effects of resveratrol on obesity or sarcopenia on potential therapy risk for skeletal muscle declines in physical function.;Chyi-Huey Bai ... Jia-Ping Wu;2019-10-30;143;1.0;missing
"""sarcopenia""";Clinical correlates of sarcopenia and falls in Parkinson's disease;https://www.biorxiv.org/content/10.1101/2019.12.17.879668v1;Background: Sarcopenia is a complex and multifactorial geriatric condition seen in several chronic degenerative diseases.  This study aimed to screen for sarcopenia and fall risk in a sample of Parkinson's disease (PD) patients and to investigate demographic and clinical factors associated.;Danielle Pessoa Lima ... Pedro Braga-Neto;2019-12-17;130;1.0;missing
"""sarcopenia""";AKT2 deficiency causes sarcopenia and metabolic disorder of skeletal muscle;https://www.biorxiv.org/content/10.1101/805812v1;Skeletal muscle is responsible for the majority of glucose disposal in the body.  Insulin resistance in the skeletal muscle accounts for 85-90% of the impairment of total body glucose disposal in patients with tye 2 diabetes (T2D).;Miao Chen ... Junmei Ye;2019-10-16;101;0.71;missing
"""sarcopenia""";Neuronal Inhibition Of The Autophagy Nucleation Complex Extends Lifespan In Post-Reproductive C. elegans;https://www.biorxiv.org/content/10.1101/135178v1;Autophagy is a ubiquitous catabolic process, which causes cellular bulk degradation of cytoplasmic components and thereby regulates cellular homeostasis.  Inactivation of autophagy has been linked with detrimental effects to cells and organisms.;Thomas Wilhelm ... Holger Richly;2017-05-08;1986;0.43;missing
"""sarcopenia""";Alpha-ketoglutarate, an endogenous metabolite, extends lifespan and compresses morbidity in aging mice;https://www.biorxiv.org/content/10.1101/779157v1;The decline in early life mortality since the 1950s has resulted in dramatic demographic shift towards aged population.  Aging manifests as a decline in health, multiple organ dysfunction and increased vulnerability to diseases, which degrades quality of life.;Azar Asadi Shahmirzadi ... Gordon J. Lithgow;2019-10-04;1040;0.43;missing
"""sarcopenia""";Physical activity unveils the relationship between mitochondrial energetics, muscle quality and physical function in older adults;https://www.biorxiv.org/content/10.1101/164160v1;Background: The concept of mitochondrial dysfunction in aging muscle is highly controversial.  In addition, emerging evidence suggests that reduced muscle oxidative capacity and efficiency underlie the etiology of mobility loss in older adults.;Giovanna Distefano ... Paul M. Coen;2017-07-15;492;0.43;missing
"""sarcopenia""";Clonal expansion of mitochondrial DNA deletions is a private mechanism of ageing in long-lived animals;https://www.biorxiv.org/content/10.1101/273326v2;Disruption of mitochondrial metabolism and loss of mitochondrial DNA (mtDNA) integrity are widely considered as evolutionarily conserved (public) mechanisms of ageing (Lopez-Otin et al.  2013).;Lakshmi Narayanan Lakshmanan ... Jan Gruber;2018-02-28;434;0.43;missing
"""sarcopenia""";Age-associated different transcriptome profiling in zebrafish and rat: insight into diversity of vertebrate aging;https://www.biorxiv.org/content/10.1101/478438v1;Background: Aging and death are inevitable for most species and are of intense interest for human beings.  Most mammals, including humans, show obvious aging phenotypes, for example, loss of tissue plasticity and sarcopenia.;Yusuke Kijima ... Shigeharu Kinoshita;2018-11-27;403;0.43;missing
"""sarcopenia""";Depletion of resident muscle stem cells inhibits muscle fiber hypertrophy induced by lifelong physical activity;https://www.biorxiv.org/content/10.1101/588731v1;Background: A reduction in skeletal muscle stem cell (satellite cell) content with advancing age is thought to directly contribute to the progressive loss of skeletal muscle mass and function with aging (sarcopenia).  However, we reported that the depletion of satellite cells throughout adulthood did not affect the onset or degree of sarcopenia observed in sedentary old mice.;Davis A. Englund ... Charlotte A. Peterson;2019-03-26;329;0.43;missing
"""sarcopenia""";Metabolite profile and mitochondrial energetics characterize poor early recovery of muscle mass following hind limb unloading in old mice;https://www.biorxiv.org/content/10.1101/183244v1;The progression of age-related sarcopenia can be accelerated by impaired recovery of muscle mass following periods of disuse due to illness or immobilization.  The molecular underpinnings of poor recovery of aging muscle following disuse remain largely unknown.;Xiaolei Zhang ... Paul M. Coen;2017-08-31;309;0.43;missing
"""sarcopenia""";Elevated serum aspartate aminotransferase levels concomitant with normal alanine aminotransferase levels in older low body weight people: Preliminary findings from a community-based epidemiological study;https://www.biorxiv.org/content/10.1101/528034v2;Background Serum enzyme levels, including hepatic transaminase, are unknown in older people with low body weight (LBW), who can easily experience sarcopenia.  Therefore, we addressed preliminarily this issue in a cross-sectional study of an apparently healthy population.;Michi Shibata ... Kei Nakajima;2019-01-26;205;0.43;missing
"""sarcopenia""";Shared regulatory pathways reveal novel genetic correlations between grip strength and neuromuscular disorders;https://www.biorxiv.org/content/10.1101/765495v1;Background: Muscle weakness and muscle wasting can be a consequence of aging (sarcopenia) and neuromuscular disorders (NMD).  Genome-wide association (GWA) studies have identified genetic variants associated with grip strength (GS, an inverse measure of muscle weakness) and NMD (multiple sclerosis (MS), myasthenia gravis (MG) and amyotrophic lateral sclerosis (ALS)).;Sreemol Gokuladhas ... Justin M. O’Sullivan;2019-09-13;196;0.43;missing
"""sarcopenia""";Cytosolic Proteostatic Adaptation to Mitochondrial Stress Causes Progressive Muscle Wasting;https://www.biorxiv.org/content/10.1101/733097v1;Muscle wasting (or atrophy), defined by reduced myofiber size and muscle strength, occurs in primary neuromuscular diseases and during aging.  The progressive loss of muscle mass with aging is known as sarcopenia, and affects 35.;Xiaowen Wang ... Xin Jie Chen;2019-08-12;194;0.43;missing
"""sarcopenia""";The RNA binding protein hnRNP-U is required for physiological hypertrophy of skeletal muscle;https://www.biorxiv.org/content/10.1101/2020.02.13.944298v1;Skeletal muscle has the remarkable ability to modulate its mass in response to physiological changes associated with nutritional input, functional utilization, systemic disease, and age.  A decreased responsiveness to anabolic stimuli is thought to contribute significantly to the loss of skeletal muscle mass and strength associated with sarcopenia, however the molecular mechanisms precipitating this are unclear.;Debalina Bagchi ... Ronald L Neppl;2020-02-14;73;0.43;missing
"""osteoarthritis""";Identification of new therapeutic targets for osteoarthritis through genome-wide analyses of UK Biobank;https://www.biorxiv.org/content/10.1101/453530v1;Osteoarthritis is the most common musculoskeletal disease and the leading cause of disability globally.  Here, we perform the largest genome-wide association study for osteoarthritis to date (77,052 cases and 378,169 controls), analysing 4 phenotypes: knee osteoarthritis, hip osteoarthritis, knee and/or hip osteoarthritis, and any osteoarthritis.;Ioanna Tachmazidou ... Eleftheria Zeggini;2018-10-25;1223;1.0;missing
"""osteoarthritis""";The genetic architecture of osteoarthritis: insights from UK Biobank;https://www.biorxiv.org/content/10.1101/174755v1;Osteoarthritis is a common complex disease with huge public health burden.  Here we perform a genome-wide association study for osteoarthritis using data across 16.;Eleni Zengini ... Eleftheria Zeggini;2017-08-11;1222;1.0;missing
"""osteoarthritis""";Integrative epigenomics, transcriptomics and proteomics of patient chondrocytes reveal genes and pathways involved in osteoarthritis;https://www.biorxiv.org/content/10.1101/038067v2;Background: Osteoarthritis (OA) is a common disease characterized by cartilage degeneration and joint remodeling.  The underlying molecular changes underpinning disease progression are incompletely understood, but can be characterized using recent advances in genomics technologies, as the relevant tissue is readily accessible at joint replacement surgery.;Julia Steinberg ... Eleftheria Zeggini;2016-01-28;974;1.0;missing
"""osteoarthritis""";Functional Testing of Thousands of Osteoarthritis-Associated Variants for Regulatory Activity;https://www.biorxiv.org/content/10.1101/379727v2;To date, genome-wide association studies have implicated at least 35 loci in osteoarthritis, but due to linkage disequilibrium, we have yet to pinpoint the specific variants that underlie these associations, nor the mechanisms by which they contribute to disease risk.  Here we functionally tested 1,605 single nucleotide variants associated with osteoarthritis for regulatory activity using a massively parallel reporter assay.;Jason C. Klein ... Jay Shendure;2018-07-30;828;1.0;missing
"""osteoarthritis""";Cartilage microRNA dysregulation in mouse osteoarthritis overlaps with patient disease candidates;https://www.biorxiv.org/content/10.1101/113456v2;To explore the role of microRNAs in osteoarthritis (OA), we conducted microRNA expression profiling on micro-dissected tibial cartilage and subchondral bone in a mouse model of OA produced by medial meniscus destabilization (DMM).  DMM mice had characteristic cartilage degeneration, subchondral bone sclerosis and osteophyte formation.;Louise H. W. Kung ... John F Bateman;2017-03-03;704;1.0;missing
"""osteoarthritis""";Decoding the genomic basis of osteoarthritis;https://www.biorxiv.org/content/10.1101/835850v2;Osteoarthritis causes pain and functional disability for a quarter of a billion people worldwide, with no disease-stratifying tools nor modifying therapy.  Here, we use primary cartilage and synovium from osteoarthritis patients to construct a molecular quantitative trait locus map of gene expression and protein abundance.;Julia Steinberg ... Eleftheria Zeggini;2019-11-12;514;1.0;missing
"""osteoarthritis""";Chromatin accessibility landscape of articular knee cartilage reveals aberrant enhancer regulation in osteoarthritis;https://www.biorxiv.org/content/10.1101/274043v1;"Background: Osteoarthritis (OA) is a common joint disorder with increasing impact in an aging society; however, there is no cure or effective treatments so far due to lack of sufficient understanding of its pathogenesis.  While genome-wide association studies (GWAS) and DNA methylation profiling identified many non-coding loci associated to OA, the interpretation of them remains challenging.";Ye Liu ... Aki Minoda;2018-03-01;443;1.0;missing
"""osteoarthritis""";"The mechanical impact of col11a2 loss on joints; col11a2 mutant zebrafish show changes to joint development and function which lead to early onset osteoarthritis";https://www.biorxiv.org/content/10.1101/302307v2;Collagen is the major structural component of cartilage and mutations in the genes encoding Type XI collagen are associated with severe skeletal dysplasias (Fibrochondrogenesis and Stickler syndrome) and early onset osteoarthritis.  The impact of the lack of Type XI collagen on cell behaviour and mechanical performance during skeleton development is unknown.;Elizabeth A Lawrence ... Chrissy L. Hammond;2018-04-17;442;1.0;missing
"""osteoarthritis""";Accelerating functional gene discovery in osteoarthritis;https://www.biorxiv.org/content/10.1101/836221v1;Osteoarthritis causes debilitating pain and disability, resulting in a huge socioeconomic burden, yet no drugs are available that prevent disease onset or progression.  Here, we develop, validate and use rapid-throughput imaging techniques to identify abnormal joint phenotypes in unselected mutant mice generated by the International Knockout Mouse Consortium.;Natalie C Butterfield ... J. H. Duncan Bassett;2019-11-10;422;1.0;missing
"""osteoarthritis""";Cost-effectiveness of telephone-based weight loss support for patients with knee osteoarthritis: Results of an economic evaluation alongside a pragmatic randomised controlled trial;https://www.biorxiv.org/content/10.1101/284588v3;Background: The prevalence of knee osteoarthritis is increasing worldwide.  Obesity is an important modifiable risk factor for both the incidence and progression of knee osteoarthritis.;KM O’Brien ... CM Williams;2018-03-21;419;1.0;missing
"""osteoarthritis""";In vivo calcium imaging visualizes peripheral neuron sensitization in murine osteoarthritis;https://www.biorxiv.org/content/10.1101/160416v1;Objective: The purpose of this study was to develop a method for analyzing sensory neuron responses to mechanical stimuli in vivo, and to evaluate whether these neuronal responses change after destabilization of the medial meniscus (DMM).  Methods: DMM or sham surgery was performed in 10-week old male C57BL/6 wild-type or Pirt-GCaMP3+/- mice.;Rachel E. Miller ... Anne-Marie Malfait;2017-07-06;437;0.71;missing
"""osteoarthritis""";Defining Inflammatory Cell States in Rheumatoid Arthritis Joint Synovial Tissues by Integrating Single-cell Transcriptomics and Mass Cytometry;https://www.biorxiv.org/content/10.1101/351130v1;To define the cell populations in rheumatoid arthritis (RA) driving joint inflammation, we applied single-cell RNA-seq (scRNA-seq), mass cytometry, bulk RNA-seq, and flow cytometry to sorted T cells, B cells, monocytes, and fibroblasts from 51 synovial tissue RA and osteoarthritis (OA) patient samples.  Utilizing an integrated computational strategy based on canonical correlation analysis to 5,452 scRNA-seq profiles, we identified 18 unique cell populations.;Fan Zhang ... Soumya Raychaudhuri;2018-06-20;3881;0.43;missing
"""osteoarthritis""";Single Cell Transcriptomics And Flow Cytometry Reveal Disease-Associated Fibroblast Subsets In Rheumatoid Arthritis;https://www.biorxiv.org/content/10.1101/126193v1;Fibroblasts mediate normal tissue matrix remodeling, but they can cause fibrosis or tissue destruction following chronic inflammation.  In rheumatoid arthritis (RA), synovial fibroblasts expand, degrade cartilage, and drive joint inflammation.;Fumitaka Mizoguchi ... Michael B. Brenner;2017-05-26;1698;0.43;missing
"""osteoarthritis""";pyKNEEr: An image analysis workflow for open and reproducible research on femoral knee cartilage;https://www.biorxiv.org/content/10.1101/556423v3;Transparent research in musculoskeletal imaging is fundamental to reliably investigate diseases such as knee osteoarthritis (OA), a chronic disease impairing femoral knee cartilage.  To study cartilage degeneration, researchers have developed algorithms to segment femoral knee cartilage from magnetic resonance (MR) images and to measure cartilage morphology and relaxometry.;Serena Bonaretti ... Gary S Beaupre;2019-02-21;1299;0.43;missing
"""osteoarthritis""";Large-scale genome-wide association meta-analysis of endometriosis reveals 13 novel loci and genetically-associated comorbidity with other pain conditions;https://www.biorxiv.org/content/10.1101/406967v1;Endometriosis is a common complex inflammatory condition characterised by the presence of endometrium-like tissue outside the uterus, mainly in the pelvic area.  It is associated with chronic pelvic pain and infertility, and its pathogenesis remains poorly understood.;Rahmioglu Nilufer ... Zondervan T Krina;2018-09-07;1148;0.43;missing
"""osteoarthritis""";Pairwise learning of MRI scans using a convolutional Siamese network for prediction of knee pain;https://www.biorxiv.org/content/10.1101/463497v4;Objectives It remains difficult to characterize the source of pain in knee joints either using radiographs or magnetic resonance imaging (MRI).  We sought to determine if advanced machine learning methods such as deep neural networks could distinguish knees with pain from those without it and identify the structural features that are associated with knee pain.;Gary H Chang ... Vijaya B. Kolachalama;2018-11-06;855;0.43;missing
"""osteoarthritis""";Chondroitin sulfate elicits systemic pathogenesis in mice by interfering with gut microbiota homeostasis;https://www.biorxiv.org/content/10.1101/142588v1;Whether chondroitin sulfate (CS), a common ingredient naturally occurring in livestock and poultry products, improves osteoarthritis remains debating.  Here, we show for the first time that CS induces steatogenesis, atherogenesis, and dementia-like pathogenesis in mice.;Tao Liao ... Qing-Ping Zeng;2017-05-27;723;0.43;missing
"""osteoarthritis""";Chondroitin Sulfate Flourishes Gut Sulfatase-Secreting Bacteria To Damage Mucus Layers, Leak Bacterial Debris, And Trigger Inflammatory Lesions In Mice;https://www.biorxiv.org/content/10.1101/145714v1;Background: An interaction of the food types with the gut microbiota changes is deeply implicated in human health and disease.  To verify whether animal-based diets would lead to gut dysbiosis, systemic inflammation and inflammatory pathogenesis, we fed mice with chondroitin sulfate (CS), a sulfate-containing O-glycan naturally occurring in livestock and poultry products, and monitored the dynamic changes of microbial flores, inflammatory signatures, and pathogenic hallmarks.;Tao Liao ... Qing-Ping Zeng;2017-06-03;689;0.43;missing
"""osteoarthritis""";Causal mechanisms of a healthy lifestyle intervention for patients with musculoskeletal pain who are overweight or obese;https://www.biorxiv.org/content/10.1101/286757v1;"We assessed the causal mechanisms of a healthy lifestyle intervention for patients with chronic low back pain and knee osteoarthritis (OA), who are overweight or obese.  We conducted causal mediation analyses of aggregated data from two RCTs; which included 160 patients with chronic low back pain, and 120 patients with knee OA.";A Williams ... CM Williams;2018-03-26;612;0.43;missing
"""osteoarthritis""";Effective repair of joint cartilage using human pluripotent stem cell-derived tissue;https://www.biorxiv.org/content/10.1101/340935v1;Adult articular cartilage lacks significant regenerative capacity, and damage to this tissue often leads to progressive joint degeneration (osteoarthritis).  We developed strategies to generate articular cartilage from human pluripotent stem cells (hPSCs) as a source of clinically relevant tissues for joint repair.;Oliver F. W. Gardner ... April M Craft;2018-06-07;570;0.43;missing
"""osteoarthritis""";The Genetic Epidemiology of Developmental Dysplasia of the Hip: A Genome-Wide Association Study Harnessing National Clinical Audit Data;https://www.biorxiv.org/content/10.1101/154013v1;Background: Developmental dysplasia of the hip (DDH) is a common, heritable condition characterised by abnormal formation of the hip joint, but has a poorly understood genetic architecture due to small sample sizes.  We apply a novel case-ascertainment approach using national clinical audit (NCA) data to conduct the largest DDH genome-wide association study (GWAS) to date, and replicate our findings in independent cohorts.;Konstantinos Hatzikotoulas ... J Mark Wilkinson;2017-06-24;438;0.43;missing
"""osteoarthritis""";Using set theory to reduce redundancy in pathway sets;https://www.biorxiv.org/content/10.1101/319731v2;Background: The consolidation of pathway databases, such as KEGG[1], Reactome[2]and ConsensusPathDB[3], has generated widespread biological interest, however the issue of pathway redundancy impedes the use of these consolidated datasets.  Attempts to reduce this redundancy have focused on visualizing pathway overlap or merging pathways, but the resulting pathways may be of heterogeneous sizes and cover multiple biological functions.;Ruth Stoney ... Goran Nenadic;2018-05-11;432;0.43;missing
"""osteoarthritis""";Circadian time series proteomics reveals daily dynamics in cartilage physiology;https://www.biorxiv.org/content/10.1101/654855v1;Objectives: Articular cartilage undergoes cyclical heavy loading and low load recovery during the 24-hour day/night cycle.  We investigated the daily changes of protein abundance in mouse femoral head articular cartilage by performing 24-hour time-series proteomics study.;Michal Dudek ... Qing-Jun Meng;2019-05-31;400;0.43;missing
"""osteoarthritis""";A zebrafish model of developmental joint dysplasia: Manipulating the larval mechanical environment to drive the malformation and recovery of joint shape;https://www.biorxiv.org/content/10.1101/155911v1;Developmental dysplasia of the hip (DDH), a malformation of the acetabulum, is a frequent cause of early onset osteoarthritis.  The disease encompasses a spectrum of severities, some of which are more amenable to treatment.;Karen A Roddy ... Chrissy L. Hammond;2017-06-26;394;0.43;missing
"""osteoarthritis""";Glenohumeral Injection Using Anatomic Landmark Versus Sonographic Needle Guidance;https://www.biorxiv.org/content/10.1101/395293v1;Objective: We hypothesized ultrasound (US) guidance improves outcomes of corticosteroid injection of the painful shoulder.  Methods: 30 patients with symptomatic shoulders due to osteoarthritis were randomized to glenohumeral injection with 3 milliliters of 1% lidocaine and 60 mg of triamcinolone acetonide using the anterior approach with 1) conventional anatomic landmark palpation-guidance or 2) US-guidance.;Timothy S Moore ... Arthur D Bankhurst;2018-08-21;379;0.43;missing
"""inflammasome""";Functional degradation: a mechanism of NLRP1 inflammasome activation by diverse pathogen enzymes;https://www.biorxiv.org/content/10.1101/317834v2;Inflammasomes are multi-protein platforms that initiate innate immunity by recruitment and activation of Caspase-1.  The NLRP1B inflammasome is activated upon direct cleavage by the anthrax lethal toxin protease.;Andrew Sandstrom ... Russell E. Vance;2018-05-09;1761;1.0;missing
"""inflammasome""";DPP9 is an endogenous and direct inhibitor of the NLRP1 inflammasome that guards against human auto-inflammatory diseases;https://www.biorxiv.org/content/10.1101/260919v1;The inflammasome is a critical immune complex that activates IL-1 driven inflammation in response to pathogen- and danger-associated signals.  Nod-like receptor protein-1 (NLRP1) is a widely expressed inflammasome sensor.;Franklin L. Zhong ... Bruno Reversade;2018-02-07;1317;1.0;missing
"""inflammasome""";MCC950/CRID3 potently targets the NACHT domain of wildtype NLRP3 but not disease-associated mutants for inflammasome inhibition;https://www.biorxiv.org/content/10.1101/634493v1;The NLRP3 inflammasome drives pathological inflammation in a suite of diseases.  Additionally, NLRP3 gain-of-function point mutations cause systemic periodic fever syndromes that are collectively known as CAPS.;Lieselotte Vande Walle ... Mohamed Lamkanfi;2019-05-11;1061;1.0;missing
"""inflammasome""";N-terminal degradation activates the Nlrp1b inflammasome;https://www.biorxiv.org/content/10.1101/317826v1;Intracellular pathogens and danger signals trigger the formation of inflammasomes, which activate inflammatory caspases and induce pyroptotic cell death.  The anthrax lethal factor metalloprotease and small molecule DPP8/9 inhibitors both activate the Nlrp1b inflammasome, but the molecular mechanism of Nlrp1b activation is not known.;Ashley J. Chui ... Daniel A. Bachovchin;2018-05-09;1015;1.0;missing
"""inflammasome""";Aging induces Nlrp3 inflammasome dependent adipose B cell expansion to impair metabolic homeostasis;https://www.biorxiv.org/content/10.1101/607192v1;"Visceral adiposity in elderly is associated with alterations in adipose tissue immune cells leading to inflammation and metabolic dysfunction.  The Nlrp3 inflammasome is a critical regulator of macrophage activation, inflammation, and immunometabolism in visceral adipose tissue during aging; however, the potential contribution of adipose tissue B cells is unexplored.";Christina D. Camell ... Vishwa Deep Dixit;2019-04-13;817;1.0;missing
"""inflammasome""";T cells instruct dendritic cells to produce inflammasome independent IL-1β causing systemic inflammation;https://www.biorxiv.org/content/10.1101/475517v1;While IL-1β is critical for anti-microbial host defense, it is also a key mediator of autoimmune inflammation.  Inflammasome activation following pathogenic insults is known to result in IL-1β production.;Aakanksha Jain ... Chandrashekhar Pasare;2018-11-26;702;1.0;missing
"""inflammasome""";TNFR2 induced priming of NLRP3-inflammasome via RIPK1 leads to pyroptosis in XIAP deficient cells;https://www.biorxiv.org/content/10.1101/550749v1;Recent data suggests that LPS stimulation can trigger inflammasome activation through a TNFR2/TNF/TNFR1 mediated loop in xiap-/- macrophages.  Yet, the direct role TNFR2-specific activation plays in the absence of XIAP is unknown.;Janin Knop ... W. Wei-Lynn Wong;2019-02-15;671;1.0;missing
"""inflammasome""";STING recruits NLRP3 to the ER and deubiquitinates NLRP3 to activate the inflammasome;https://www.biorxiv.org/content/10.1101/681338v1;One of the fundamental reactions of the innate immune responses to pathogen infection is the release of pro-inflammatory cytokines, including IL-1β, processed by the NLRP3 inflammasome.  STING is essential for innate immune responses and inflammasome activation.;Wenbiao Wang ... Jianguo Wu;2019-06-24;609;1.0;missing
"""inflammasome""";Charcot-Leyden Crystals activate the NLRP3 inflammasome and cause IL-1β inflammation;https://www.biorxiv.org/content/10.1101/252957v2;Charcot-Leyden crystals (CLCs) are Galectin-10 protein crystals that can form after eosinophils degranule.  CLCs can appear and persist in tissues from patients with eosinophilic disorders, such as asthma, allergic reactions, fungal, and helminthic infections.;Juan Francisco Rodríguez-Alcázar ... Bernardo S Franklin;2018-01-24;601;1.0;missing
"""inflammasome""";Miltefosine increases macrophage cholesterol release and inhibits NLRP3-inflammasome assembly and IL-1β release.;https://www.biorxiv.org/content/10.1101/430769v5;Miltefosine is an FDA approved oral drug for treating cutaneous and visceral leishmaniasis.  Leishmania is a flagellated protozoa, which infects and differentiates in macrophages.;Amanda J Iacano ... Kailash Gulshan;2018-09-29;569;1.0;missing
"""inflammasome""";Inflammasome-independent role for NLRP3 in controlling innate anti-helminth immunity and tissue repair in the lung;https://www.biorxiv.org/content/10.1101/606392v2;Alternatively activated macrophages are essential effector cells during type 2 immunity and tissue repair following helminth infections.  We previously showed that Ym1, an alternative activation marker, can drive innate IL-1R-dependent neutrophil recruitment during infection with the lung-migrating nematode, Nippostrongylus brasiliensis suggesting a potential role for the inflammasome in the IL-1-mediated innate response to infection.;AL Chenery ... PR Giacomin;2019-04-13;506;1.0;missing
"""inflammasome""";New mutant mouse models clarify the role of NAIPs, phosphorylation, NLRP3, and tumors in NLRC4 inflammasome activation;https://www.biorxiv.org/content/10.1101/765313v1;The NAIP/NLRC4 inflammasome is a cytosolic sensor of bacteria that activates Caspase-1 and initiates potent downstream immune responses.  Structural, biochemical, and genetic data all demonstrate that the NAIP proteins act as receptors for specific bacterial ligands, while NLRC4 is a downstream adaptor protein that multimerizes with NAIPs to form a macromolecular structure called an inflammasome.;Jeannette L. Tenthorey ... Isabella Rauch;2019-09-18;465;1.0;missing
"""inflammasome""";Platelets fuel the inflammasome activation of innate immune cells;https://www.biorxiv.org/content/10.1101/800771v1;The inflammasomes control the bioactivity of pro-inflammatory cytokines of the interleukin (IL)-1 family.  The inflammasome assembled by NLRP3 has been predominantly studied in homogenous cell populations in vitro, neglecting the influence of cellular interactions that occur in vivo.;Verena Rolfes ... Bernardo S Franklin;2019-10-11;456;1.0;missing
"""inflammasome""";The inflammasome of circulatory collapse: single cell analysis of survival on extracorporeal life support;https://www.biorxiv.org/content/10.1101/568659v3;Background Despite being a lifesaving intervention for the most critically ill and circulatory compromised patients, veno-arterial extra-corporeal life support (VA-ECLS) is associated with a mortality rate of nearly 60%.  Understanding how the immune response to VA-ECLS either promotes or impedes survival would both enhance risk stratification and uncover new therapeutic strategies for these patients.;Eric J. Kort ... Stefan Jovinge;2019-03-05;727;0.71;missing
"""inflammasome""";Excessive ENaC-mediated sodium influx drives NLRP3 inflammasome-dependent autoinflammation in Cystic Fibrosis;https://www.biorxiv.org/content/10.1101/458208v2;Cystic Fibrosis (CF) is caused by mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene resulting in defective CFTR-mediated chloride transport, dysregulation of epithelial sodium channels (ENaC) and exaggerated innate immune responses.  We tested the hypothesis that upregulation of ENaC drives autoinflammation in this complex monogenic disease.;Thomas Scambler ... Michael F McDermott;2018-10-31;504;0.71;missing
"""inflammasome""";Identification of pyroptosis inhibitors that target a reactive cysteine in gasdermin D;https://www.biorxiv.org/content/10.1101/365908v1;Inflammasomes are multi-protein signalling scaffolds that assemble in response to invasive pathogens and sterile danger signals to activate inflammatory caspases (1/4/5/11), which trigger inflammatory death (pyroptosis) and processing and release of pro-inflammatory cytokines (1,2).  Inflammasome activation contributes to many human diseases, including inflammatory bowel disease, gout, type II diabetes, cardiovascular disease, Alzheimer's disease, and sepsis, the often fatal response to systemic infection (3-6).;Jun Jacob Hu ... Hao Wu;2018-07-10;3071;0.43;missing
"""inflammasome""";Functional pangenome analysis suggests inhibition of the protein E as a readily available therapy for COVID-2019.;https://www.biorxiv.org/content/10.1101/2020.02.17.952895v2;The spread of the novel coronavirus (SARS-CoV-2) has triggered a global emergency, that demands urgent solutions for detection and therapy to prevent escalating health, social and economic impacts.  The spike protein (S) of this virus enables binding to the human receptor ACE2, and hence presents a prime target for vaccines preventing viral entry into host cells.;Intikhab alam ... Carlos M. Duarte;2020-02-21;2482;0.43;missing
"""inflammasome""";Microglial and Astrocyte priming in the APP/PS1 model of Alzheimer's Disease: increased vulnerability to acute inflammation and cognitive deficits.;https://www.biorxiv.org/content/10.1101/344218v1;Alzheimer's disease (AD) causes devastating cognitive decline and has no disease-modifying therapies.  Neuroinflammation is a significant contributor to disease progression but its precise contribution remains unclear.;Ana Belen Lopez-Rodriguez ... Colm Cunningham;2018-06-11;1199;0.43;missing
"""inflammasome""";Extracellular mycobacterial DNA drives disease progression by triggering Caspase-11-dependent pyroptosis of infected macrophages;https://www.biorxiv.org/content/10.1101/514125v4;Deregulated inflammation seriously complicates life-threatening microbial infections, including tuberculosis (TB).  Assembly of multiprotein inflammasome complexes is an important trigger of inflammation, but how this impacts TB progression remains unknown.;Monica Varela ... Annemarie H. Meijer;2019-01-08;1006;0.43;missing
"""inflammasome""";Dynamics of ASC speck formation during skin inflammatory responses in vivo;https://www.biorxiv.org/content/10.1101/111542v2;Activated danger or pathogen sensors trigger assembly of the inflammasome adaptor ASC into specks, large signalling platforms considered hallmarks of inflammasome activation.  Because a lack of in vivo tools has prevented the study of endogenous ASC dynamics, we generated a live ASC reporter through CRISPR/Cas9 tagging of the endogenous gene in zebrafish.;Paola Kuri ... Maria Leptin;2017-02-27;959;0.43;missing
"""inflammasome""";Characterization of novel TMEM173 mutation with additive IFIH1 risk allele;https://www.biorxiv.org/content/10.1101/394353v1;TMEM173 encodes for STING that is a transmembrane protein activated by pathogen or self-derived cytosolic nucleic acids causing its translocation from ER to Golgi, and further to vesicles.  Monogenic STING gain-of-function mutations cause early-onset type I interferonopathy, with disease presentation ranging from fatal vasculopathy to mild chilblain lupus.;Salla Keskitalo ... Markku Varjosalo;2018-08-17;679;0.43;missing
